size: 4
top - 16:47:41 up 3 days,  6:13,  0 users,  load average: 0.06, 0.08, 0.09
Tasks: 214 total,   1 running, 210 sleeping,   2 stopped,   1 zombie
%Cpu(s):  0.0 us,  2.0 sy,  0.0 ni, 98.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  31940.9 total,    331.9 free,    934.3 used,  30674.7 buff/cache
MiB Swap:   8192.0 total,   8187.2 free,      4.8 used.  30493.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    823 root      20   0       0      0      0 S   0.0   0.0   0:00.00 afs_cachetrim
    830 root      20   0    9420   2708   2564 S   0.0   0.0   0:00.60 cron
    836 root      20   0  592216  56420   5848 S   0.0   0.2   0:13.27 automount
    848 root      20   0  305988   7196   6052 S   0.0   0.0   0:00.16 lightdm
    871 root      20   0  374572 145656   2840 S   0.0   0.4   0:07.25 karl
    873 root      20   0    8436   1760   1648 S   0.0   0.0   0:00.00 agetty
    880 root      20   0  594352  96780  67248 S   0.0   0.3   0:19.11 Xorg
   1475 root      20   0   38116   4836   4328 S   0.0   0.0   0:01.90 master
   1477 postfix   20   0   48476   6016   5488 S   0.0   0.0   0:00.37 qmgr
   1493 root      20   0  171888   8300   7052 S   0.0   0.0   0:00.06 lightdm
   1510 lightdm   20   0   19304   9180   7440 S   0.0   0.0   0:00.24 systemd
   1511 lightdm   20   0  181744   3668      0 S   0.0   0.0   0:00.00 (sd-pam)
   1517 lightdm    9 -11  651004  15560  12840 S   0.0   0.0   0:00.09 pulseaudio
   1521 lightdm   20   0   18976   4640   4160 S   0.0   0.0   0:00.00 dbus-daemon
   1526 lightdm   20   0    2616    592    528 S   0.0   0.0   0:00.00 lightdm-greeter
   1527 lightdm   20   0 1004528 109348  77072 S   0.0   0.3   1:31.53 lightdm-gtk-gre
   1529 rtkit     21   1  152936   2804   2572 S   0.0   0.0   0:05.47 rtkit-daemon
   1533 lightdm   20   0  305288   5388   4916 S   0.0   0.0   0:00.00 at-spi-bus-laun
   1538 lightdm   20   0   18848   4020   3632 S   0.0   0.0   0:00.01 dbus-daemon
   1540 lightdm   20   0  239712   6644   5860 S   0.0   0.0   0:00.00 gvfsd
   1545 lightdm   20   0  312808   5364   4844 S   0.0   0.0   0:00.00 gvfsd-fuse
   1570 root      20   0   12280   5688   4948 S   0.0   0.0   0:00.00 lightdm
   1572 lightdm   20   0  162768   6580   5968 S   0.0   0.0   0:00.00 at-spi2-registr
   1715 statd     20   0   59944  50020   2396 S   0.0   0.2   0:00.01 rpc.statd
   1718 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nfsiod
   1842 root      20   0    8436   1764   1648 S   0.0   0.0   0:00.01 agetty
  21281 root      20   0   23608   6252   4048 S   0.0   0.0   0:00.60 systemd-udevd
  21353 systemd+  20   0   90908   5980   5196 S   0.0   0.0   0:00.75 systemd-timesyn
  21393 systemd+  20   0   27268   6244   5432 S   0.0   0.0   0:02.60 systemd-network
  21403 systemd+  20   0   24548   9828   5928 S   0.0   0.0   0:06.96 systemd-resolve
  21406 root      19  -1  133972  88828  87284 S   0.0   0.3   0:12.02 systemd-journal
 210847 postfix   20   0   52156   7256   6472 S   0.0   0.0   0:00.12 tlsmgr
 445350 root      20   0       0      0      0 I   0.0   0.0   0:09.38 kworker/3:1-events
 514748 root       0 -20       0      0      0 I   0.0   0.0   0:09.37 kworker/u13:0-xprtiod
 687144 truong    20   0   19272   9920   8224 S   0.0   0.0   0:00.16 systemd
 687145 truong    20   0  196896   4416      4 S   0.0   0.0   0:00.00 (sd-pam)
 687157 root      20   0       0      0      0 S   0.0   0.0   0:00.00 lockd
 687182 truong    20   0   27064   5188   4796 S   0.0   0.0   0:00.00 dbus-daemon
 687187 root       0 -20       0      0      0 I   0.0   0.0   0:06.07 kworker/u13:1-xprtiod
 797750 truong    20   0   19852   3544   3044 T   0.0   0.0   0:00.00 top
1035154 root      20   0       0      0      0 I   0.0   0.0   0:04.68 kworker/5:0-events
1357387 root      20   0       0      0      0 I   0.0   0.0   0:02.56 kworker/1:0-events
1400437 root      20   0       0      0      0 I   0.0   0.0   0:00.49 kworker/4:0-events
1411803 root      20   0   40656  11188   9412 S   0.0   0.0   0:00.02 sshd
1411833 truong    20   0   40656   7964   6112 S   0.0   0.0   0:01.96 sshd
1411834 truong    20   0    9632   3760   3300 S   0.0   0.0   0:00.08 bash
1411940 truong    20   0    2616    596    528 S   0.0   0.0   0:00.00 sh
1411950 truong    20   0  945432  86460  35604 S   0.0   0.3   0:23.57 node
1411987 truong    20   0  796388  60400  32916 S   0.0   0.2   0:24.14 node
1429894 root      20   0       0      0      0 I   0.0   0.0   0:00.60 kworker/4:1-events
1451577 postfix   20   0   48356   7156   6668 S   0.0   0.0   0:00.02 pickup
1452280 root      20   0       0      0      0 I   0.0   0.0   0:00.41 kworker/2:2-events
1454513 root      20   0   40648  11384   9620 S   0.0   0.0   0:00.03 sshd
1454540 truong    20   0   40648   7888   6036 S   0.0   0.0   0:06.54 sshd
1454541 truong    20   0    9632   3584   3124 S   0.0   0.0   0:00.03 bash
1454661 truong    20   0  989728 132636  42092 S   0.0   0.4   1:09.46 node
1454679 truong    20   0  966580  41564  32208 S   0.0   0.1   0:00.86 node
1454781 truong    20   0   18344   4636   3796 S   0.0   0.0   0:00.11 bash
1454818 truong    20   0   18340   4600   3764 S   0.0   0.0   0:00.00 bash
1455092 truong    20   0    5920   3620   3424 T   0.0   0.0   0:00.00 msh379
1455231 truong    20   0       0      0      0 Z   0.0   0.0   0:29.22 testPrgm
1458793 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0
1459564 root      20   0       0      0      0 I   0.0   0.0   0:00.28 kworker/u12:2-events_power_efficient
1459874 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:1-cgroup_destroy
1467628 root      20   0       0      0      0 I   0.0   0.0   0:00.21 kworker/u12:1-rpciod
1468052 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0
1468110 root      20   0  145844  59492  55832 S   0.0   0.2   0:00.10 sssd_nss
1469342 root      20   0  121324  33132  29480 S   0.0   0.1   0:00.07 sssd_pam
1471405 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/5:1-cgroup_destroy
1471744 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:1-cgroup_destroy
1472335 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/u12:0-nfsiod
1473079 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/u12:3-events_unbound
1473443 truong    20   0    8084    580    516 S   0.0   0.0   0:00.00 sleep
1473561 truong    20   0    8084    516    452 S   0.0   0.0   0:00.00 sleep
1473814 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:2-events
1473930 truong    20   0    5920   1528   1372 S   0.0   0.0   0:00.00 shell379
1473996 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0-cgroup_destroy
size: 4
top - 16:47:53 up 3 days,  6:13,  0 users,  load average: 0.12, 0.10, 0.09
Tasks: 216 total,   2 running, 211 sleeping,   2 stopped,   1 zombie
%Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  31940.9 total,    334.4 free,    931.7 used,  30674.7 buff/cache
MiB Swap:   8192.0 total,   8187.2 free,      4.8 used.  30495.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1474098 truong    20   0   20112   3992   3336 R   6.7   0.0   0:00.01 top
      1 root      20   0  168888  12220   8288 S   0.0   0.0   0:10.80 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.08 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
      8 root      20   0       0      0      0 I   0.0   0.0   0:28.88 kworker/0:1-events
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
